employee_id,name,department,city,age,salary,experience,performance_score,projects_completed,joining_date
184,Swati Kapoor,Data Science,Kolkata,38.0,70719,5,5,6,2021-07-02
154,Kavya Malhotra,engineering,Mumbai,,77058,1,8,8,2024-02-05
171,Manish Desai,Data Science,Hyderabad,23.0,69911,0,6,18,2019-04-24
146,Neha Das,Engineering,Pune,28.0,69993,3,8,1,2022-12-13
145,Isha Nair,Data Science,,32.0,88216,8,8,14,2019-11-25
140,Rahul Gupta,Sales,Hyderabad,23.0,52404,0,9,13,2018-12-27
123,Sneha Iyer,HR,Hyderabad,33.0,59895,4,4,18,2024-02-21
181,Karan Rao,Marketing,,22.0,50733,1,6,6,2020-04-05
111,Kavya Singh,Engineering,Delhi,23.0,,1,5,10,2021-09-14
101,Ananya Malhotra,engineering,,24.0,68591,2,8,0,2023-10-21
119,Ritu Desai,Marketing,Pune,22.0,55321,0,6,18,2020-02-18
131,Priya Malhotra, Marketing ,Hyderabad,25.0,55295,1,7,12,2022-02-13
174,Divya Chatterjee,Finance,Kolkata,24.0,58374,1,3,12,2018-09-21
134,Vivek Kulkarni,Finance,Kolkata,24.0,59422,3,6,12,2021-11-24
191,Neha Malhotra,Marketing,Mumbai,29.0,64944,2,10,18,2023-10-05
105,Vivek Pillai,Engineering,Pune,39.0,,9,4,5,2024-06-05
177,Vivek Malhotra, Finance ,Bangalore,,,3,4,12,2021-09-12
178,Vikram Kapoor,Sales,Chennai,29.0,57858,3,7,1,2020-06-26
113,Ritu Nair,Finance,,41.0,74778,10,7,5,2018-02-13
132,Swati Malhotra,Engineering,Chennai,33.0,77222,5,7,15,2018-10-09
156,Aditya Kapoor,Data Science,Kolkata,26.0,69765,0,2,4,2020-04-12
189,Anjali Shah,Marketing,Delhi,33.0,56321,6,7,14,2022-08-14
127,Suresh Verma,Data Science,Bangalore,27.0,"72,862",2,6,10,2023-02-21
143,Neha Rao,Sales,Hyderabad,37.0,,11,6,11,2023-05-15
170,Rahul Nair,Data Science,Kolkata,30.0,76425,5,2,4,2021-06-25
116,Rohan Verma,Engineering,Chennai,23.0,62693,0,4,8,2018-08-17
